,Unnamed: 0,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
42,42,CNN-368,1024.0,0.9,0.999,True,0.0,20.0,9.0,cuda,,2.0,,0.0,0.0,0.0147128105163574,0.1535678952932357,0.0062879126263461,,,Resnet18(10),0.245735615491867,1.0,QHAdam,,,0.0356850437819957,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0003070440861276,0.3675223290920257,1.909024119377136
43,43,CNN-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,CNN-168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,46,CNN-339,512.0,0.9,0.999,True,0.0,1.0,0.0,cuda,,2.0,,0.0,0.0,0.0,0.0,0.0001953234192415,,,M5(),0.5038648843765259,1.0,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.7795860965542547e-05,0.813752293586731,0.882774829864502
46,47,CNN-36,,0.9,0.999,,,,,,0.1,50.0,0.95,,,,,0.01,,,,1.0,1.0,,,,,,,,,,,,1e-06,0.9338176846504213,0.2631469964981079
47,48,CNN-56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49,CNN-129,,0.9,0.999,,,,,,0.1,50.0,0.9,,,,,0.002,,,,0.7,1.0,,,,,,,,,,,,1e-06,,
49,50,CNN-230,1000.0,0.9,0.999,,,,,cuda,0.1,50.0,,,,,,0.0001,OneCycleLR,0.001,Densenet121(10),0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
50,51,CNN-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52,CNN-376,512.0,0.9,0.999,True,0.0,8.0,2.0,cuda,,2.0,,0.0,0.0,0.0926215723156929,0.0,0.0106481288386379,,,M5(),0.5562336444854736,0.9813689589500428,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.078356914656593e-05,0.7477022409439087,0.8244447112083435
52,53,CNN-270,500.0,0.9,0.999,,,,,cuda,0.1,10.0,0.9,,,,,0.0001,ExponentialLR,,"load_from_zoo(""Densenet161(10)_61eb0a80_0.p"")",0.7,1.0,QHAdam,,,,10.0,mlxa/CNN,True,None,train_v1.bin,,val_v1.bin,1e-06,,
