,Unnamed: 0,Unnamed: 0.1,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss
197,197,201,CNN-325,1024.0,0.9,0.999,True,0.0,14.0,6.0,cuda,,2.0,,0.0134281860664486,0.0,0.0,0.0,0.0002632568246809,,,M5(),0.7360735535621643,1.0,QHAdam,,,0.0,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,4.575293799921914e-05,0.7544881701469421,0.9637476205825806
202,202,206,CNN-374,256.0,0.9,0.999,True,0.0,3.0,1.0,cuda,,2.0,,0.0,0.0,0.1033045873045921,0.2026329338550567,0.000212000022481,,,M7(),0.3228268623352051,1.0,QHAdam,,,0.0163011886179447,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0020248235628061,0.84423828125,0.7596498131752014
228,228,233,CNN-367,512.0,0.9,0.999,True,0.0,4.0,2.0,cuda,,2.0,,0.1560547202825546,0.0,0.0773870572447776,0.0,0.0947078961935432,,,M7(),0.6245176196098328,1.0,QHAdam,,,0.094380035996437,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.023125634911097e-06,0.659639298915863,1.1314597129821775
230,230,235,CNN-358,1024.0,0.9,0.999,True,0.0,22.0,7.0,cuda,,2.0,,0.0,0.033485647290945,0.0,0.0279392097145319,0.0009493154628137,,,M7(),0.4421578347682953,1.0,QHAdam,,,0.0,4.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.043370316598514e-06,0.3791274726390838,1.8823267221450808
242,242,247,CNN-380,256.0,0.9,0.999,True,1.0,16.0,6.0,cuda,,2.0,,0.1235299706459045,0.0,0.0,0.0044387285597622,0.0131243593371777,,,M7(),0.7962427139282227,1.0,QHAdam,,,0.056032445281744,16.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0028258709485908,0.4880859553813934,1.67379629611969
246,246,251,CNN-360,512.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0,0.0002172125532524,0.0,0.2054326832294464,0.0136195059298768,,,Resnet18(10),0.6937283277511597,0.8559564352035522,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0004923153054402,0.5083927512168884,1.4914535284042358
247,247,252,CNN-371,128.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.1000081300735473,0.0544450245797634,0.0,0.0984606146812439,0.0005485823599568,,,Resnet18(10),0.1704022884368896,1.0,QHAdam,,,0.041982676833868,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.579983072593149e-06,0.8159612417221069,0.635393500328064
251,251,256,CNN-372,512.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,2.0,,0.0101063167676329,0.0964644774794578,0.0,0.0,0.0001641267778055,,,M7(),0.6620112061500549,1.0,QHAdam,,,0.0,8.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.64602665214565e-05,0.824902355670929,0.7996801733970642
257,257,262,CNN-369,128.0,0.9,0.999,True,0.0,13.0,7.0,cuda,,2.0,,0.0,0.0175858009606599,0.1589431166648864,0.1230947375297546,0.0037095249334693,,,M5(),0.2484830617904663,0.8494909405708313,QHAdam,,,0.0,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.1965160525342655e-05,0.8956685066223145,0.3807185888290405
281,281,287,CNN-379,128.0,0.9,0.999,True,0.0,9.0,6.0,cuda,,2.0,,0.0,0.0539976134896278,0.0,0.0106209507212042,1.6904360020258264e-05,,,Resnet18(10),0.56233811378479,0.9127750396728516,QHAdam,,,0.1329800337553024,32.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,6.998408895111646e-05,0.4984177350997925,1.4925413131713867
