,sys/id,parameters/batch_size,parameters/beta1,parameters/beta2,parameters/connect_to_project,parameters/cutout_count,parameters/cutout_max_size,parameters/cutout_min_size,parameters/device,parameters/dropout,parameters/epochs,parameters/gamma,parameters/jitter_brightness,parameters/jitter_contrast,parameters/jitter_hue,parameters/jitter_saturation,parameters/lr,parameters/lr_scheduler,parameters/max_lr,parameters/model,parameters/nu1,parameters/nu2,parameters/optimizer,parameters/per_alpha,parameters/per_beta,parameters/perspective_distortion,parameters/plot_interval,parameters/project_name,parameters/register_run,parameters/test,parameters/train,parameters/use_per,parameters/val,parameters/wd,train/val_acc,train/val_loss,parameters/tag
245,CNN-422,64.0,0.9,0.999,True,0.0,9.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,9.489835455533764e-05,,,M5(),0.8431717753410339,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.9210970662252917e-05,0.9217755198478699,0.47712698578834534,sweep2
247,CNN-448,64.0,0.9,0.999,True,0.0,13.0,7.0,cuda,,5.0,,0.01,0.01,0.01,0.01,2.5407535418993825e-05,,,M5(),0.9,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.395221971378409e-06,0.8861464858055115,0.6636096835136414,sweep2
254,CNN-410,64.0,0.9,0.999,True,0.0,4.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.018285311597653425,,,M5(),0.36374425888061523,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,8.65864495894547e-05,0.8443471193313599,0.5181856751441956,sweep2
257,CNN-403,64.0,0.9,0.999,True,0.0,9.0,5.0,cuda,,5.0,,0.01,0.01,0.01,0.01,2.7055986548144103e-06,,,M5(),0.9,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.8469744833454187e-05,0.7173566818237305,1.1375417709350586,sweep2
267,CNN-427,64.0,0.9,0.999,True,0.0,1.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0001458060161874709,,,M5(),0.6207879781723022,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.898049078326366e-05,0.9271497130393982,0.4076085090637207,sweep2
271,CNN-400,64.0,0.9,0.999,True,0.0,7.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.003014489077425306,,,M5(),0.4878460466861725,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.4308319421769483e-06,0.924761176109314,0.268899142742157,sweep2
272,CNN-396,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0007598231286859607,,,M5(),0.8244190216064453,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,6.133774882873541e-06,0.9276472926139832,0.2691539525985718,sweep2
273,CNN-441,64.0,0.9,0.999,True,0.0,1.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00036244372033169636,,,M5(),0.4713129699230194,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,3.855299658168273e-06,0.9290406107902527,0.3038111925125122,sweep2
281,CNN-397,64.0,0.9,0.999,True,1.0,7.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0007346214327198392,,,M5(),0.6810998916625977,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,7.10862590377496e-06,0.9281449317932129,0.2759346663951874,sweep2
305,CNN-389,64.0,0.9,0.999,True,0.0,1.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00025540852204813177,,,M5(),0.5850590467453003,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.0263450953144518e-05,0.9271497130393982,0.35078924894332886,sweep2
306,CNN-434,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00015993903016993806,,,M5(),0.5989829897880554,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.0014154228680718e-07,0.9281449317932129,0.3749992847442627,sweep2
307,CNN-447,64.0,0.9,0.999,True,0.0,2.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0010211610431000392,,,M5(),0.3175792098045349,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.0012553184998265114,0.8985868096351624,0.3631090521812439,sweep2
338,CNN-388,64.0,0.9,0.999,True,0.0,31.0,14.0,cuda,,5.0,,0.01,0.01,0.01,0.01,6.51230913796843e-05,,,M5(),0.40495455265045166,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.0182232690615593e-07,0.9081409573554993,0.5335842370986938,sweep2
343,CNN-445,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0008662372438262357,,,M5(),0.2558761537075043,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.068891542790939e-05,0.9204816818237305,0.2821978032588959,sweep2
346,CNN-443,64.0,0.9,0.999,True,0.0,10.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,5.21351540343775e-05,,,M5(),0.39000529050827026,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.0915623230260914e-06,0.8992834687232971,0.5779491662979126,sweep2
352,CNN-386,64.0,0.9,0.999,True,0.0,8.0,4.0,cuda,,5.0,,0.01,0.01,0.01,0.01,1.0209973621771132e-05,,,M5(),0.5338369607925415,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,1.4108251412793517e-05,0.8343949317932129,0.8293522000312805,sweep2
366,CNN-392,64.0,0.9,0.999,True,1.0,5.0,2.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.00010708053472266086,,,M5(),0.2595686614513397,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,0.00015676903547045783,0.9203822016716003,0.46544891595840454,sweep2
376,CNN-415,64.0,0.9,0.999,True,0.0,0.0,0.0,cuda,,5.0,,0.01,0.01,0.01,0.01,0.0015671491123989936,,,M5(),0.25801119208335876,1.0,QHAdam,,,0.01,63.0,mlxa/CNN,True,None,train_v3.bin,False,val_v3.bin,2.5264468496883785e-05,0.9191879034042358,0.28024137020111084,sweep2
